2000.01.06,12:00,0.65610,0.65760,0.65570,0.65740,156
2000.01.06,13:00,0.65750,0.65750,0.65570,0.65630,257
2000.01.06,14:00,0.65630,0.65670,0.65560,0.65660,201
2000.01.06,15:00,0.65650,0.65680,0.65490,0.65560,194
2000.01.06,16:00,0.65600,0.65650,0.65420,0.65510,188
2000.01.06,17:00,0.65520,0.65550,0.65410,0.65440,115
2000.01.06,18:00,0.65450,0.65450,0.65290,0.65430,101
2000.01.06,19:00,0.65450,0.65510,0.65370,0.65480,84
2000.01.06,20:00,0.65470,0.65510,0.65410,0.65490,49
2000.01.06,21:00,0.65500,0.65530,0.65390,0.65420,29
2000.01.06,22:00,0.65400,0.65450,0.65250,0.65290,88
2000.01.06,23:00,0.65280,0.65350,0.65270,0.65330,42
2000.01.07,00:00,0.65360,0.65370,0.65310,0.65340,25
2000.01.07,01:00,0.65320,0.65400,0.65300,0.65320,54
2000.01.07,02:00,0.65310,0.65360,0.65270,0.65320,61
2000.01.07,03:00,0.65330,0.65440,0.65290,0.65440,61
